nID;nID_Service;nID_City;nID_Region;nID_ServiceType;oData;sURL;bHidden;nID_Subject_Operator;bTest;sNote;asAuth;nID_Place;nID_Server
981;767;154;;4;"{""processDefinitionId"":""dnepr_soc_help_150:1:1""}";;false;14;false;;BankID,EDS;154;0
982;787;154;;4;"{""processDefinitionId"":""dnepr_soc_help_175:1:1""}";;false;14;false;;BankID,EDS;154;0
983;786;154;;4;"{""processDefinitionId"":""dnepr_soc_help_177:1:1""}";;false;14;false;;BankID,EDS;154;0
984;1383;154;;4;"{""processDefinitionId"":""dnepr_soc_help_176:1:1""}";;false;14;false;;BankID,EDS;154;0
985;780;154;;4;"{""processDefinitionId"":""dnepr_soc_help_157:1:1""}";;false;14;false;;BankID,EDS;154;0
986;776;154;;4;"{""processDefinitionId"":""dnepr_soc_help_147:1:1""}";;false;14;false;;BankID,EDS;154;0
987;762;154;;4;"{""processDefinitionId"":""dnepr_soczah_139:1:1""}";;false;14;false;;BankID,EDS;154;0
988;778;154;;4;"{""processDefinitionId"":""dnepr_soczah_160:1:1""}";;false;14;false;;BankID,EDS;154;0
989;775;154;;4;"{""processDefinitionId"":""dnepr_soczah_154:1:1""}";;false;14;false;;BankID,EDS;154;0
990;779;154;;4;"{""processDefinitionId"":""dnepr_soczah_165:1:1""}";;false;14;false;;BankID,EDS;154;0
991;781;154;;4;"{""processDefinitionId"":""dnepr_soczah_163:1:1""}";;false;14;false;;BankID,EDS;154;0
992;777;154;;4;"{""processDefinitionId"":""dnepr_soczah_156:1:1""}";;false;14;false;;BankID,EDS;154;0
993;759;154;;4;"{""processDefinitionId"":""dnepr_soczah_142:1:1""}";;false;14;false;;BankID,EDS;154;0
994;752;154;;4;"{""processDefinitionId"":""socialhelp_kidsUkraine:1:1""}";;false;14;false;;BankID,EDS;154;0
995;654;154;;4;"{""processDefinitionId"":""subsidiesUkraine:1:1""}";;false;14;false;;BankID,EDS;154;0
996;774;111;;4;"{""processDefinitionId"":""dnepr_soc_144:1:1""}";;false;14;false;;BankID,EDS;111;0
997;765;111;;4;"{""processDefinitionId"":""dnepr_soc_help_148:1:1""}";;false;14;false;;BankID,EDS;111;0
998;767;111;;4;"{""processDefinitionId"":""dnepr_soc_help_150:1:1""}";;false;14;false;;BankID,EDS;111;0
999;787;111;;4;"{""processDefinitionId"":""dnepr_soc_help_175:1:1""}";;false;14;false;;BankID,EDS;111;0
1000;786;111;;4;"{""processDefinitionId"":""dnepr_soc_help_177:1:1""}";;false;14;false;;BankID,EDS;111;0
1001;1383;111;;4;"{""processDefinitionId"":""dnepr_soc_help_176:1:1""}";;false;14;false;;BankID,EDS;111;0
1002;780;111;;4;"{""processDefinitionId"":""dnepr_soc_help_157:1:1""}";;false;14;false;;BankID,EDS;111;0
1003;776;111;;4;"{""processDefinitionId"":""dnepr_soc_help_147:1:1""}";;false;14;false;;BankID,EDS;111;0
1004;762;111;;4;"{""processDefinitionId"":""dnepr_soczah_139:1:1""}";;false;14;false;;BankID,EDS;111;0
1005;778;111;;4;"{""processDefinitionId"":""dnepr_soczah_160:1:1""}";;false;14;false;;BankID,EDS;111;0
1006;775;111;;4;"{""processDefinitionId"":""dnepr_soczah_154:1:1""}";;false;14;false;;BankID,EDS;111;0
1007;779;111;;4;"{""processDefinitionId"":""dnepr_soczah_165:1:1""}";;false;14;false;;BankID,EDS;111;0
1008;781;111;;4;"{""processDefinitionId"":""dnepr_soczah_163:1:1""}";;false;14;false;;BankID,EDS;111;0
1009;777;111;;4;"{""processDefinitionId"":""dnepr_soczah_156:1:1""}";;false;14;false;;BankID,EDS;111;0
1010;759;111;;4;"{""processDefinitionId"":""dnepr_soczah_142:1:1""}";;false;14;false;;BankID,EDS;111;0
1011;752;111;;4;"{""processDefinitionId"":""socialhelp_kidsUkraine:1:1""}";;false;14;false;;BankID,EDS;111;0
1012;654;111;;4;"{""processDefinitionId"":""subsidiesUkraine:1:1""}";;false;14;true;;BankID,EDS;111;0
1013;1463;;1;4;"{""processDefinitionId"":""common_mreo_6:1:1""}";;false;12;false;;BankID,EDS;50001;0
1014;1465;;1;4;"{""processDefinitionId"":""common_mreo_7:1:1""}";;false;12;false;;BankID,EDS;50001;0
1015;1466;;1;4;"{""processDefinitionId"":""common_mreo_8:1:1""}";;false;12;false;;BankID,EDS;50001;0
1016;1467;;1;4;"{""processDefinitionId"":""common_mreo_9:1:1""}";;false;12;false;;BankID,EDS;50001;0
1017;1468;;1;4;"{""processDefinitionId"":""common_mreo_10:1:1""}";;false;12;false;;BankID,EDS;50001;0
1018;1469;;1;4;"{""processDefinitionId"":""common_mreo_11:1:1""}";;false;12;false;;BankID,EDS;50001;0
1019;1470;;1;4;"{""processDefinitionId"":""common_mreo_12:1:1""}";;false;12;false;;BankID,EDS;50001;0
1020;1471;;1;4;"{""processDefinitionId"":""common_mreo_13:1:1""}";;false;12;false;;BankID,EDS;50001;0
1021;1;;22;4;"{""processDefinitionId"":""common_mvd_1_hand:1:58""}";;false;306;false;;BankID,EDS;50022;0
1022;786;486;;4;"{""processDefinitionId"":""dnepr_soc_help_177:1:1""}";;false;14;false;;BankID,EDS;486;0
1023;102;1;;4;"{""processDefinitionId"":""dnepr_cnap_211:1:1""}";;false;225;false;;BankID,EDS;1;0
1024;41;1;;4;"{""processDefinitionId"":""dnepr_cnap_225:1:1""}";;false;225;false;;BankID,EDS;1;0
1025;99;1;;4;"{""processDefinitionId"":""dnepr_cnap_231:1:1""}";;false;225;true;;BankID,EDS;1;0
1026;46;1;;4;"{""processDefinitionId"":""dnepr_cnap_232:1:1""}";;false;225;false;;BankID,EDS;1;0
1027;47;1;;4;"{""processDefinitionId"":""dnepr_cnap_233:1:1""}";;false;225;false;;BankID,EDS;1;0
1028;45;1;;4;"{""processDefinitionId"":""dnepr_cnap_234:1:1""}";;false;225;false;;BankID,EDS;1;0
1029;956;1;;4;"{""processDefinitionId"":""dnepr_cnap_238:1:1""}";;false;225;false;;BankID,EDS;1;0
1030;957;1;;4;"{""processDefinitionId"":""dnepr_cnap_238a:1:1""}";;false;225;false;;BankID,EDS;1;0
1031;48;1;;4;"{""processDefinitionId"":""dnepr_cnap_283:1:1""}";;false;225;false;;BankID,EDS;1;0
1032;788;467;;4;"{""processDefinitionId"":""znes_bud_393:1:1""}";;false;225;false;;BankID,EDS;467;0
1033;21;;1;4;"{""processDefinitionId"":""subsidies_Ukr_result:1:1""}";;false;14;false;;BankID,EDS;50001;0
1034;22;12;;4;"{""processDefinitionId"":""odes_archiv_392:1:1""}";;false;1;true;;BankID,EDS;12;0
1035;30;5;;4;"{""processDefinitionId"":""kalush_soczah_401:1:1""}";;false;14;false;;BankID,EDS;5;0
1036;36;5;;4;"{""processDefinitionId"":""kalush_uszn_400:1:1""}";;false;14;false;;BankID,EDS;5;0
1037;31;5;;4;"{""processDefinitionId"":""kalush_minsoc_399:1:1""}";;false;14;false;;BankID,EDS;5;0
1038;40;467;;4;"{""processDefinitionId"":""spend_meeting_404:1:1""}";;false;225;false;;BankID,EDS;467;0
1039;687;92;;4;"{""processDefinitionId"":""ternopol_rcnap_117:1:1""}";;false;117;true;;BankID,EDS;92;0
1040;35;467;;4;"{""processDefinitionId"":""kolon_cnap394:1:1""}";;false;268;false;;BankID,EDS;467;0
1041;143;283;;4;"{""processDefinitionId"":""dnepr_cnap_275:1:1""}";;false;212;true;;BankID,EDS;283;0
1042;1472;28;;4;"{""processDefinitionId"":""dnepr_obl_cnap_484:1:1""}";;false;225;false;;BankID,EDS;28;0
1043;1422;13;;4;"{""processDefinitionId"":""dnepr_cnap_246:1:1""}";;true;246;true;;BankID,EDS;13;0
1044;786;5;;4;"{""processDefinitionId"":""dnepr_soc_help_177:1:1""}";;false;14;false;;BankID,EDS;5;0
1045;548;26;;4;"{""processDefinitionId"":""hmel_cnap_264_1:1:1""}";;false;264;false;;BankID,EDS,email;26;0
1046;549;26;;4;"{""processDefinitionId"":""hmel_cnap_264_2:1:1""}";;false;264;false;;BankID,EDS,email;26;0
1047;1425;26;;4;"{""processDefinitionId"":""dnepr_cnap_245:1:1""}";;false;246;false;;BankID,EDS;26;0
1048;1392;182;;4;"{""processDefinitionId"":""cnap_417:1:1""}";;false;225;false;;BankID,EDS;182;0
1049;11;479;;4;"{""processDefinitionId"":""rda_360:1:1""}";;false;212;false;;BankID,EDS;479;0
1050;1473;3;;4;"{""processDefinitionId"":""demo:1:1""}";;false;225;true;;BankID,EDS;3;0
1051;17;22;;4;"{""processDefinitionId"":""nikolaev_oda_2:1:1""}";;false;212;true;;BankID,EDS;22;0
1052;17;494;;4;"{""processDefinitionId"":""nikolaev_oda_2:1:1""}";;false;212;true;;BankID,EDS;494;0
1053;11;491;;4;"{""processDefinitionId"":""rda_360:1:1""}";;false;212;false;;BankID,EDS;491;0
1054;161;491;;4;"{""processDefinitionId"":""demo2:1:1""}";;true;212;true;;BankID,EDS;491;0
1055;1474;3;;4;"{""processDefinitionId"":""demo:1:1""}";;false;225;true;;BankID,EDS;3;0
1056;64;494;;4;"{""processDefinitionId"":""lugansk_novopskov_407:1:1""}";;false;212;true;;BankID,EDS;494;0
1057;1475;3;;4;"{""processDefinitionId"":""demo:1:1""}";;false;225;true;;BankID,EDS;3;0
